Timestamp;Entity Name;in;out
2021-08-05 11:00:00;dtu-lyn-boghandel;4;5
2021-08-05 11:00:00;dtu-lyn-indgang;21;17
2021-08-05 11:30:00;dtu-lyn-boghandel;1;5
2021-08-05 11:30:00;dtu-lyn-indgang;19;12
2021-08-05 12:00:00;dtu-lyn-boghandel;3;2
2021-08-05 12:00:00;dtu-lyn-indgang;24;36
2021-08-05 12:30:00;dtu-lyn-boghandel;3;2
2021-08-05 12:30:00;dtu-lyn-indgang;50;27
2021-08-05 13:00:00;dtu-lyn-boghandel;2;0
2021-08-05 13:00:00;dtu-lyn-indgang;40;20
2021-08-05 13:30:00;dtu-lyn-boghandel;1;1
2021-08-05 13:30:00;dtu-lyn-indgang;23;33
2021-08-05 14:00:00;dtu-lyn-boghandel;1;2
2021-08-05 14:00:00;dtu-lyn-indgang;31;38
2021-08-05 14:30:00;dtu-lyn-boghandel;2;2
2021-08-05 14:30:00;dtu-lyn-indgang;26;18
2021-08-05 15:00:00;dtu-lyn-boghandel;1;3
2021-08-05 15:00:00;dtu-lyn-indgang;21;21
2021-08-05 15:30:00;dtu-lyn-boghandel;2;1
2021-08-05 15:30:00;dtu-lyn-indgang;16;25
2021-08-05 16:00:00;dtu-lyn-boghandel;1;2
2021-08-05 16:00:00;dtu-lyn-indgang;12;22
2021-08-05 16:30:00;dtu-lyn-boghandel;2;0
2021-08-05 16:30:00;dtu-lyn-indgang;15;27
2021-08-05 17:00:00;dtu-lyn-boghandel;0;0
2021-08-05 17:00:00;dtu-lyn-indgang;9;13
2021-08-05 17:30:00;dtu-lyn-boghandel;0;0
2021-08-05 17:30:00;dtu-lyn-indgang;7;13
2021-08-05 18:00:00;dtu-lyn-boghandel;0;0
2021-08-05 18:00:00;dtu-lyn-indgang;12;20
2021-08-05 18:30:00;dtu-lyn-boghandel;0;0
2021-08-05 18:30:00;dtu-lyn-indgang;8;11
2021-08-05 19:00:00;dtu-lyn-boghandel;0;0
2021-08-05 19:00:00;dtu-lyn-indgang;9;9
2021-08-05 19:30:00;dtu-lyn-boghandel;0;0
2021-08-05 19:30:00;dtu-lyn-indgang;5;11
2021-08-05 20:00:00;dtu-lyn-boghandel;0;0
2021-08-05 20:00:00;dtu-lyn-indgang;1;10
2021-08-05 20:30:00;dtu-lyn-boghandel;0;0
2021-08-05 20:30:00;dtu-lyn-indgang;1;5
2021-08-05 21:00:00;dtu-lyn-boghandel;0;0
2021-08-05 21:00:00;dtu-lyn-indgang;0;1
2021-08-05 21:30:00;dtu-lyn-boghandel;0;0
2021-08-05 21:30:00;dtu-lyn-indgang;3;10
2021-08-05 22:00:00;dtu-lyn-boghandel;0;0
2021-08-05 22:00:00;dtu-lyn-indgang;0;2
2021-08-05 22:30:00;dtu-lyn-boghandel;0;0
2021-08-05 22:30:00;dtu-lyn-indgang;3;2
2021-08-05 23:00:00;dtu-lyn-boghandel;0;0
2021-08-05 23:00:00;dtu-lyn-indgang;5;5
2021-08-05 23:30:00;dtu-lyn-boghandel;0;0
2021-08-05 23:30:00;dtu-lyn-indgang;0;2
2021-08-06 00:00:00;dtu-lyn-boghandel;0;0
2021-08-06 00:00:00;dtu-lyn-indgang;1;0
2021-08-06 00:30:00;dtu-lyn-boghandel;0;0
2021-08-06 00:30:00;dtu-lyn-indgang;0;1
2021-08-06 01:00:00;dtu-lyn-boghandel;0;0
2021-08-06 01:00:00;dtu-lyn-indgang;0;3
2021-08-06 01:30:00;dtu-lyn-boghandel;0;0
2021-08-06 01:30:00;dtu-lyn-indgang;0;3
2021-08-06 02:00:00;dtu-lyn-boghandel;0;0
2021-08-06 02:00:00;dtu-lyn-indgang;0;0
2021-08-06 02:30:00;dtu-lyn-boghandel;0;0
2021-08-06 02:30:00;dtu-lyn-indgang;0;1
2021-08-06 03:00:00;dtu-lyn-boghandel;0;0
2021-08-06 03:00:00;dtu-lyn-indgang;0;0
2021-08-06 03:30:00;dtu-lyn-boghandel;0;0
2021-08-06 03:30:00;dtu-lyn-indgang;0;0
2021-08-06 04:00:00;dtu-lyn-boghandel;0;0
2021-08-06 04:00:00;dtu-lyn-indgang;2;3
2021-08-06 04:30:00;dtu-lyn-boghandel;0;0
2021-08-06 04:30:00;dtu-lyn-indgang;0;0
2021-08-06 05:00:00;dtu-lyn-boghandel;0;0
2021-08-06 05:00:00;dtu-lyn-indgang;7;5
2021-08-06 05:30:00;dtu-lyn-boghandel;0;0
2021-08-06 05:30:00;dtu-lyn-indgang;0;0
2021-08-06 06:00:00;dtu-lyn-boghandel;0;0
2021-08-06 06:00:00;dtu-lyn-indgang;0;0
2021-08-06 06:30:00;dtu-lyn-boghandel;0;0
2021-08-06 06:30:00;dtu-lyn-indgang;0;0
2021-08-06 07:00:00;dtu-lyn-boghandel;0;0
2021-08-06 07:00:00;dtu-lyn-indgang;4;2
2021-08-06 07:30:00;dtu-lyn-boghandel;0;0
2021-08-06 07:30:00;dtu-lyn-indgang;1;0
2021-08-06 08:00:00;dtu-lyn-boghandel;0;0
2021-08-06 08:00:00;dtu-lyn-indgang;4;0
2021-08-06 08:30:00;dtu-lyn-boghandel;0;0
2021-08-06 08:30:00;dtu-lyn-indgang;6;2
2021-08-06 09:00:00;dtu-lyn-boghandel;0;0
2021-08-06 09:00:00;dtu-lyn-indgang;23;3
2021-08-06 09:30:00;dtu-lyn-boghandel;0;0
2021-08-06 09:30:00;dtu-lyn-indgang;9;0
2021-08-06 10:00:00;dtu-lyn-boghandel;1;2
2021-08-06 10:00:00;dtu-lyn-indgang;16;4
2021-08-06 10:30:00;dtu-lyn-boghandel;6;3
2021-08-06 10:30:00;dtu-lyn-indgang;11;6
2021-08-06 11:00:00;dtu-lyn-boghandel;2;3
2021-08-06 11:00:00;dtu-lyn-indgang;9;13
2021-08-06 11:30:00;dtu-lyn-boghandel;0;3
2021-08-06 11:30:00;dtu-lyn-indgang;13;11
2021-08-06 12:00:00;dtu-lyn-boghandel;1;0
2021-08-06 12:00:00;dtu-lyn-indgang;28;23
2021-08-06 12:30:00;dtu-lyn-boghandel;1;1
2021-08-06 12:30:00;dtu-lyn-indgang;14;18
2021-08-06 13:00:00;dtu-lyn-boghandel;3;3
2021-08-06 13:00:00;dtu-lyn-indgang;32;23
2021-08-06 13:30:00;dtu-lyn-boghandel;3;2
2021-08-06 13:30:00;dtu-lyn-indgang;20;19
2021-08-06 14:00:00;dtu-lyn-boghandel;2;6
2021-08-06 14:00:00;dtu-lyn-indgang;18;15
2021-08-06 14:30:00;dtu-lyn-boghandel;0;1
2021-08-06 14:30:00;dtu-lyn-indgang;14;20
2021-08-06 15:00:00;dtu-lyn-boghandel;2;4
2021-08-06 15:00:00;dtu-lyn-indgang;19;37
2021-08-06 15:30:00;dtu-lyn-boghandel;0;0
2021-08-06 15:30:00;dtu-lyn-indgang;12;21
2021-08-06 16:00:00;dtu-lyn-boghandel;1;1
2021-08-06 16:00:00;dtu-lyn-indgang;12;19
2021-08-06 16:30:00;dtu-lyn-boghandel;0;0
2021-08-06 16:30:00;dtu-lyn-indgang;11;19
2021-08-06 17:00:00;dtu-lyn-boghandel;0;0
2021-08-06 17:00:00;dtu-lyn-indgang;6;9
2021-08-06 17:30:00;dtu-lyn-boghandel;0;0
2021-08-06 17:30:00;dtu-lyn-indgang;12;11
2021-08-06 18:00:00;dtu-lyn-boghandel;0;0
2021-08-06 18:00:00;dtu-lyn-indgang;7;9
2021-08-06 18:30:00;dtu-lyn-boghandel;1;1
2021-08-06 18:30:00;dtu-lyn-indgang;3;8
2021-08-06 19:00:00;dtu-lyn-boghandel;1;0
2021-08-06 19:00:00;dtu-lyn-indgang;8;6
2021-08-06 19:30:00;dtu-lyn-boghandel;1;1
2021-08-06 19:30:00;dtu-lyn-indgang;10;12
2021-08-06 20:00:00;dtu-lyn-boghandel;0;0
2021-08-06 20:00:00;dtu-lyn-indgang;4;5
2021-08-06 20:30:00;dtu-lyn-boghandel;0;0
2021-08-06 20:30:00;dtu-lyn-indgang;3;2
2021-08-06 21:00:00;dtu-lyn-boghandel;1;1
2021-08-06 21:00:00;dtu-lyn-indgang;4;14
2021-08-06 21:30:00;dtu-lyn-boghandel;0;0
2021-08-06 21:30:00;dtu-lyn-indgang;0;3
2021-08-06 22:00:00;dtu-lyn-boghandel;0;0
2021-08-06 22:00:00;dtu-lyn-indgang;1;1
2021-08-06 22:30:00;dtu-lyn-boghandel;0;0
2021-08-06 22:30:00;dtu-lyn-indgang;0;1
2021-08-06 23:00:00;dtu-lyn-boghandel;0;0
2021-08-06 23:00:00;dtu-lyn-indgang;0;0
2021-08-06 23:30:00;dtu-lyn-boghandel;1;1
2021-08-06 23:30:00;dtu-lyn-indgang;0;2
2021-08-07 00:00:00;dtu-lyn-boghandel;0;0
2021-08-07 00:00:00;dtu-lyn-indgang;0;1
2021-08-07 00:30:00;dtu-lyn-boghandel;0;0
2021-08-07 00:30:00;dtu-lyn-indgang;1;0
2021-08-07 01:00:00;dtu-lyn-boghandel;0;0
2021-08-07 01:00:00;dtu-lyn-indgang;0;1
2021-08-07 01:30:00;dtu-lyn-boghandel;0;0
2021-08-07 01:30:00;dtu-lyn-indgang;0;1
2021-08-07 02:00:00;dtu-lyn-boghandel;0;0
2021-08-07 02:00:00;dtu-lyn-indgang;8;2
2021-08-07 02:30:00;dtu-lyn-boghandel;0;0
2021-08-07 02:30:00;dtu-lyn-indgang;1;8
2021-08-07 03:00:00;dtu-lyn-boghandel;0;0
2021-08-07 03:00:00;dtu-lyn-indgang;0;0
2021-08-07 03:30:00;dtu-lyn-boghandel;0;0
2021-08-07 03:30:00;dtu-lyn-indgang;0;0
2021-08-07 04:00:00;dtu-lyn-boghandel;0;0
2021-08-07 04:00:00;dtu-lyn-indgang;0;0
2021-08-07 04:30:00;dtu-lyn-boghandel;0;0
2021-08-07 04:30:00;dtu-lyn-indgang;0;0
2021-08-07 05:00:00;dtu-lyn-boghandel;0;0
2021-08-07 05:00:00;dtu-lyn-indgang;1;0
2021-08-07 05:30:00;dtu-lyn-boghandel;0;0
2021-08-07 05:30:00;dtu-lyn-indgang;0;0
2021-08-07 06:00:00;dtu-lyn-boghandel;0;0
2021-08-07 06:00:00;dtu-lyn-indgang;0;0
2021-08-07 06:30:00;dtu-lyn-boghandel;0;0
2021-08-07 06:30:00;dtu-lyn-indgang;0;0
2021-08-07 07:00:00;dtu-lyn-boghandel;0;0
2021-08-07 07:00:00;dtu-lyn-indgang;0;0
2021-08-07 07:30:00;dtu-lyn-boghandel;0;0
